Strain No.,Replicate,Start Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,Slope,R^2,,Substrate,Climate,Region,GPS
50,b,10/3/16,2.7,5.5,6.2,6.9,7.6,9.3,12.7,,,,,,,,0.8156043488,0.9064639763,,Strawberry,Temperate,Northern California,"36.681090,-121.561483"
50,c,10/3/16,2.5,5.0,6.3,7.7,9.1,10.4,13.2,,,,,,,,0.9546116677,0.9670833118,,Strawberry,Temperate,Northern California,"36.681090,-121.561483"
51,a,10/3/16,1.8,3.7,4.3,5.0,5.7,6.2,7.2,,,,,,,,0.4665316564,0.9203766796,,Strawberry,Temperate,Northern California,"36.828106,-121.781894"
51,b,10/3/16,2.1,4.3,5.2,6.1,7.0,7.5,8.7,,,,,,,,0.5774532793,0.9209447698,,Strawberry,Temperate,Northern California,"36.828106,-121.781894"
51,c,10/3/16,4.5,9.1,9.8,10.5,11.2,12.3,14.5,,,,,,,,0.7730761032,0.8313003671,,Strawberry,Temperate,Northern California,"36.828106,-121.781894"
52,a,9/30/16,3.7,7.4,9.3,11.2,13.1,13.5,14.4,,,,,,,,0.9870851986,0.884007947,,Strawberry,Temperate,Northern California,"36.736882,-121.661620"
52,b,9/30/16,2.2,4.5,5.5,6.6,7.7,9.2,12.4,,,,,,,,0.8847438357,0.9526892241,,Strawberry,Temperate,Northern California,"36.736882,-121.661620"
52,c,9/30/16,2.7,5.4,6.2,7.0,7.9,9.0,11.4,,,,,,,,0.7275101258,0.9291374721,,Strawberry,Temperate,Northern California,"36.736882,-121.661620"
53,a,9/30/16,4.3,8.7,11.8,14.9,18.1,19.6,22.6,,,,,,,,1.724188162,0.9586087952,,Strawberry,Temperate,Northern California,"36.609264,-121.536049"
53,b,9/30/16,4.9,9.9,11.3,12.8,14.3,15.0,16.6,,,,,,,,0.9871740212,0.858271174,,Strawberry,Temperate,Northern California,"36.609264,-121.536049"
53,c,9/30/16,5.1,10.3,12.9,15.5,18.1,19.5,22.4,,,,,,,,1.56100334,0.9368024304,,Strawberry,Temperate,Northern California,"36.609264,-121.536049"
54,a,9/30/16,4.5,9.0,11.5,14.0,16.6,18.7,23.0,,,,,,,,1.667306189,0.9665877458,,Strawberry,Temperate,Northern California,"36.861135,-121768080"
54,b,9/30/16,4.2,8.5,10.2,12.0,13.8,14.2,15.2,,,,,,,,0.9821644283,0.8650381832,,Strawberry,Temperate,Northern California,"36.861135,-121768080"
54,c,9/30/16,3.7,7.5,10.7,13.9,17.2,18.6,21.5,,,,,,,,1.708342216,0.9639860904,,Strawberry,Temperate,Northern California,"36.861135,-121768080"
55,a,9/30/16,5.3,10.6,13.5,16.5,19.5,21.8,26.5,,,,,,,,1.915352093,0.9644925006,,Strawberry,Temperate,Northern California,"36.8437726,-121.743028"
55,b,9/30/16,5.8,11.7,14.5,17.3,20.1,22.4,27.1,,,,,,,,1.887959213,0.9533990385,,Strawberry,Temperate,Northern California,"36.8437726,-121.743028"
55,c,9/30/16,4.4,8.9,12.3,15.8,19.3,20.6,23.4,,,,,,,,1.814076601,0.9523044204,,Strawberry,Temperate,Northern California,"36.8437726,-121.743028"
56,a,9/30/16,4.0,8.0,9.6,11.3,13.0,14.0,16.1,,,,,,,,1.067345271,0.9261619526,,Strawberry,Temperate,Northern California,"36.829340,-121.781894"
56,b,9/30/16,4.4,8.9,12.0,15.1,18.3,20.1,23.8,,,,,,,,1.808480779,0.9666126001,,Strawberry,Temperate,Northern California,"36.829340,-121.781894"
56,c,9/30/16,4.0,8.0,11.8,15.6,19.5,21.4,25.4,,,,,,,,2.059635472,0.9749569113,,Strawberry,Temperate,Northern California,"36.829340,-121.781894"
57,a,9/30/16,5.2,10.5,11.7,13.0,14.3,15.1,16.9,,,,,,,,0.9570631706,0.84232003,,Strawberry,Temperate,Northern California,"36.741496,-1216685668"
57,b,9/30/16,3.6,7.3,8.6,9.9,11.2,11.9,13.4,,,,,,,,0.845910609,0.8931390549,,Strawberry,Temperate,Northern California,"36.741496,-1216685668"
57,c,9/30/16,3.2,6.5,8.0,9.5,11.1,12.1,14.2,,,,,,,,0.9796596319,0.9431130808,,Strawberry,Temperate,Northern California,"36.741496,-1216685668"
